keywords,content
2025 wet season performance rain yield maize rice cassava,"According to the 2025 NAERLS Agricultural Performance Survey, production of major crops like rice (9.3M MT), maize (11.4M MT), and cassava (65.3M MT) increased over 2024 levels, leading to a general drop in food commodity prices."
2025 wet season climate rain dry spell constraint,"In 2025, while the North-West and South-West experienced higher rainfall that enhanced production, irregular rainfall patterns, frequent dry spells, and soil erosion continued to constrain agricultural productivity."
2025 policy recommendation dry season subsidy mechanization,"The 2025 NAERLS report highly recommends institutionalizing a Dry Season survey, digitizing fertilizer subsidies for affordable access, and revolutionizing mechanization through Public-Private Partnerships and simple labour-saving devices."
beniseed sesame soil plant spacing guinea sudan sahel,"Beniseed (sesame) thrives on well-drained loamy soils. Plant in March/April for the Guinea savanna, or June/July for the Sudan and Sahel savannas. Space seeds at 60x10cm on flat land or 75x15cm on ridges."
beniseed sesame seed rate thin plant lodge,"Use a beniseed seed rate of 4kg/ha for drilling or 5kg/ha for broadcasting. Thin the plants at 3 weeks after planting to exactly 2 plants per stand to prevent the plants from growing excessively tall and lodging."
beniseed sesame pest insect moth bug disease leaf spot,"Beniseed is heavily attacked by pod-sucking bugs and leaf-feeding moths; control them with insecticides like Decis or Karate. Prevent Cercospora leaf spot disease using fungicides like Benomyl or Thiram."
beniseed sesame harvest cut capsule yellow shatter,"Harvest beniseed when 50% of the capsules turn from green to yellow. Do not uproot; cut stems with sickles and tie them in upright bundles on a tarpaulin to dry fully. This prevents seed loss through shattering on bare ground."
beniseed sesame process dehull oil extract roast,"To process beniseed, dehull by soaking in a 3% salt solution for 17-18 hours. To extract oil locally, roast the dehulled seeds for 5-10 minutes at 180-210°C, mill into flour, add hot water, and press."
cocoa black pod disease rot phytophthora prune south west,"Black Pod disease in cocoa, prevalent in the humid South West, is caused by Phytophthora fungi. Control it by frequently removing infected pods, pruning the canopy to improve air circulation, and applying recommended copper-based fungicides."
catfish aquaculture clarias gariepinus water change ph ammonia,"For African Catfish (Clarias gariepinus) farming, maintaining water quality is critical. High ammonia levels cause fish to gasp at the surface. Change pond water regularly, maintain a pH between 6.5 and 8.5, and avoid overfeeding to prevent water toxicity."
yam propagation minisett nrcri seed multiplication tuber,"To overcome the shortage of seed yams, use the Minisett Technique developed by NRCRI Umudike. Cut a healthy tuber into 25g pieces (minisetts) ensuring each piece has peel, treat with a mixture of wood ash and fungicide, and plant in a nursery or direct field ridges."
